1,鲁迅美术年谱,萧振鸣,国家图书馆出版社,NULL,2010年6月,617,680.00元,平装,9787501343751,0.0,10,NULL,"出版说明 在中国近现代美术史上，鲁迅与美术始终纠缠在一起，从童年对美术的热爱到编辑出版中外美术书籍；从鲁迅美术思想的提出到倡导新兴木刻，鲁迅一生始终贯串着美术活动。从这一角度看鲁迅，他是名符其实的“美术人”。 鲁迅作为二十世纪的伟大人物，其人格魅力和思想光焰几乎笼罩中国一个世纪。至今，仍然可以说鲁迅始终处于中国文坛的中心，鲁迅给世人留下了卷帙浩繁的著作，鲁迅之后的中国文坛难以出现如此伟大的人物。鲁迅去世后近八十年的鲁迅研究中，大多以鲁迅的小说、散文、杂文为研究主体，对鲁迅生命本体的研究诸如数十种鲁迅传记，是以他的生平、创作为主要对象，然而并没有一部完备的鲁迅美术年谱来纪传鲁迅的美术生活。这也是笔者著纂本书的起因。 通过对鲁迅一生美术活动的梳理，我们可以看到年仅五十六岁的鲁迅，生命付出最多的，除了创作和翻译之外便是在美术活动上。",鲁迅
2,一万次别离,米炎凉,江苏凤凰文艺出版社,NULL,2016-12-30,256,28,平装,9787539997421,7.7,20,NULL,"从梦想引领者到人生并肩人 他重塑她的人生观，给她知识、信仰和爱 大学教授 /医学院学生 /电影 /远方 我走过很多路， 可我知， 我愿意抬头仰望的还是同一座山， 使我泛起哀愁的还是同一条河， 我想的念的深爱的还是那一个人。 他重塑了她的人生观价值观，路途遥遥带回藏药偏方 为她根治顽疾，用他独有的方式让她学了一口流利的英语，她的梦想因他而起，她毅然远走去追逐梦想，所有勇气都因他而来！ 初遇他，她是病弱的少女，他是音乐节上惊才艳绝的摇滚歌手，因为曲毕退场时捡走了舞台上一支易拉罐，被她铭记，再见时 ，他已经是她的教授。 她一生最大的愿望是成为能和他比肩同游的人，为何最后却毅然背上行囊孤身远走？ 十几个国家，二十几座城市，走得越远越觉得孤独——这世间，万般美景，他是她这一生，唯一的执迷不悟。 一个人能给予另外一个人最恒久坚定的是什么？是名声？还是财富？ 他给...(展开全部)",言情
3,六人飞行组,祝晓羽,中国少年儿童出版社,NULL,2003-06,250,15.00,平装,9787500766865,9.5,91,NULL,世界是否像我们看到的那样平淡无奇？从一个周五夜晚开始，住在上海的女孩安琪彻底改变了想法：陌生女孩的奇怪问题，地下穿行的不明生物，从窗口习飞进的少年，还有隐隐约约居在神秘树林中的老博士。　路人物粉墨登场，天上飞的地下跑的无所不有，她和五个来自不同的国家的伙伴一起，被卷入了一场不可思议的冒险，并接触到了一个充满诡异的地下世界。原来，一切都因为梦游发明麦博士发明的一种习行药水……,童话
4,朱雀堂,鬼马星,上海人民出版社,NULL,2015-12,208,25.00元,平装,9787208133181,7.5,65,NULL,"《朱雀堂》是鬼马星民国背景下的侦探系列“民国秘事”中的第二部。以夏氏兄妹为主线人物，讲述围绕他们身边发生的离奇案件。     夏家兄妹在上海安家后不久，哥哥夏漠无意间获得一份法医工作的同时，也引出了一起发生在四马路寓所中的离奇连环案。妹妹夏英奇无意中，发现自己所知晓的秘密，或许已让自己身处险境……     一本神秘小说、十具无名女尸、失踪的高校女生、家长里短的邻居太太、不露声色的黑帮头目……英奇纠缠在蛛丝马迹的谜团之际，还需面对她和唐震云之间的感情……",悬疑
5,星移记,[美]休·豪伊,"浦睿文化/ 湖南文艺出版社",NULL,2016-1,300,48.00元,平装,9787540473662,6.5,25,NULL,"《星移记》是《羊毛战记》《尘埃记》的前传，讲述地堡的建造，揭开了前两部中隐藏的惊天秘密，为前两部故事的展开埋下了伏笔。故事背景设置在美国。保尔·瑟曼等掌权者认为世界将走向灭亡，于是启动了修建地堡的巨大工程，并通过人为制造的灾难将部分民众安排进了分别代表美国五十个州的地堡。不知情的唐纳德成为了该计划中设计地堡内部设施的重要人员。然而在地堡中循环往复的轮值中，他逐渐发现这个计划中邪恶的阴谋，并通过隐秘的手段揭开了真相，从而保护了仍在地堡中生活着的人们。 【编辑推荐】 《纽约时报》《今日美国》畅销榜图书 席卷全球的畅销奇迹 亚马逊电子书总榜冠军 科幻畅销榜第一名 《火星救援》《异形》导演雷德利·斯科特执导电影 《羊毛战记》《星移记》前传　地堡内外的秘密全面揭晓 《别相信任何人》作者S.J.沃森 《肖申克的救赎》作者斯蒂芬·金 一致推崇",科幻
6,"張愛玲學. 續篇",高全之,麥田,NULL,2014-4,320,NT,平装,9789863440796,0.0,10,NULL,"四十多年張學築路，從內緣來到外緣── 高全之是張愛玲海葬的見證人，四十多年來鑽研張愛玲，屢發前人所不見，復鈎沈不少珍貴材料，備受海峽兩岸三地文壇推崇。十八篇最新文論，著力三大方面：張愛玲英譯自己、中譯他人的翻譯問題及其張學價值；《雷峰塔》、《易經》、《小團圓》、《對照記》組成的「我自己的故事」寫作計畫，側重張愛玲對親族的評價；語錄私信中的友誼與美國生活地圖。 名人推薦 高全之一起步就以文學批評（特別是小說批評）為終身志業的這個抱負，從來沒改變過，就像信仰那麼堅定、堅毅。他孜孜不倦，全力以赴，就這麼穩定踏實地一路走來，長期的日問月學，培養出豐富的理論修養，周密的邏輯思考，以及嫻熟的文字駕馭力，大量汲取，厚積薄發，使他幾乎沒有經過一般寫作新手的青澀 階段，一出手就到達一定的藝術高度。——瘂弦〈高全之，學院外文學批評的築路人〉 像高全之這樣能以嚴謹誠虔的態...(展开全部)",张爱玲
7,蓝光枕之塔,[斯洛文尼亚]托马斯·萨拉蒙,作家出版社,NULL,2014-7,238,39.00元,平装,9787506374095,7.7,43,NULL,《蓝光枕之塔:萨拉蒙诗选》作者托马斯·萨拉蒙是中欧先锋诗人的主要代表，斯洛文尼亚当代最杰出的诗人。萨拉蒙的影响早已跨越大西洋两岸，他甚至被称为“当代美国诗人的精神教父”。青年诗人、翻译家赵四从萨拉蒙已经出版的三十三部诗集中精选了二百余首，历时四年，翻译成《蓝光枕之塔:萨拉蒙诗选》。,诗歌
8,海滨之屋,斯台芬・茨威格,华夏出版社,NULL,2002-1-1,130,7.00,平装(无盘),9787508026985,7.9,37,NULL,本书是奥地利著名作家斯台芬·茨威格的一部戏剧作品，讲述了十八世纪德国某港口城市的领港员哥特霍尔特·克吕格在家里开了一家酒店。就在这座“海滨之屋”里，演出了一出人间惨剧。克吕格的侄儿托马斯因为帮助一位年轻的水手逃脱征兵者的魔爪，自已却被迫随54名壮丁给押往美国。二十年后，托马斯返回故乡，又来到这座“海滨之屋”，但是物是人非，老叔父克吕格已衰老不堪，有个名叫彼得的年轻人不仅控制了托马斯的妻子卡塔林娜，还想霸占他们十九岁的女儿克利斯蒂纳。为了挽救女儿，惩罚恶人，托马斯不惜牺牲自已的生命。,茨威格
9,重读鲁迅,朱正,东方出版社,NULL,2006-11,480,39.80元,简裝本,9787506026598,7.6,20,NULL,鲁迅几万字的遗著，其中很大—部分必将永远受到读者的喜爱，后世读者将以一种赞叹和欣赏的态度阅读它。有—部分时过境迁，不再使人感到兴趣，比起文章来，更重要的是鲁迅这个人。他的入世的态度，他的爱国心和正义感，他对强暴的反抗和对弱者的同情，他为了中国进步不懈的努力，他身上那种中国优秀知识分子的传统的骨气，用他自己的话说，“这就是中国的脊梁”。他作为中国知识分子的楷模，这形象，这精神，必将永世长存。,鲁迅
10,与凤行,九鹭非香,江苏文艺出版社,NULL,2014-4,328,35.00元,平装,9787539972923,7.3,675,NULL,"上古神殒，世间只余最后一个神君——行止。 传言，这位行止神君数万年来独居天外天，无情无欲。仙魔大战中，他以一己之力力挽狂澜，此后更是杜门却扫，神踪难觅。 数百年不过弹指间。 身为魔界衔珠而生的女王爷，沈璃的一生是璀璨而夺目的。但在她千岁诞辰之际，政治联姻的魔爪劈头盖脸地挠过来。逃婚路上，沈璃被打回凤凰原形，负伤坠落人间。重伤昏迷之际，凡间小贩将她当作肥鸡，拔光了全身的毛，关在笼中待售。 沈璃醒来后被此情形气了个仰倒，却又无计可施。正蔫头耷脑之际，一个青衣白裳的清秀男子路过，若有所思地盯了她许久，随即笑道：“我要这只。” …… 两人的命运被一场看似不经意的交易紧紧地扭结在了一起。",言情
11,卖火柴的小女孩,"（丹）安徒生 著，（日）黑井健 绘",上海辞书出版社,NULL,2005-03,300,20.00,精装,9787532617043,8.8,86,NULL,"《安徒生童话绘本典藏:卖火柴的小女孩》作者安徒生，安徒生其实是这样一位作家，他善于戴着儿童童稚的面具向成年人讲述，同时又把完全属于成年人世界的体验用童话讲给孩子们听。安徒生是值得我们一生去读的，大文豪列夫•托尔斯泰用了十年的时间读安徒生的作品；安徒生是值得我们一代又一代的人去体味和感受的，正如散文家张晓风说的：如果有人5岁了，还没有倾听过安徒生，那么他的童年少了一段温馨；     如果有人15岁了，还没有阅读过安徒生，那么他的少年少了一道银灿；     如果有人25岁了，还没有细味过安徒生，那么他的青年少了一片辉碧；     如果有人35岁了，还没有了解过安徒生，那么他的壮年少了一种丰饶；     如果有人45岁了，还没有思索过安徒生，那么他的中年少了一点沉郁；     如果有人55岁了，还没有复习过安徒生，那么他的晚年少了一份悠远。",童话
12,张爱玲典藏全集<情场如战场等三种>(剧作暨小说增补),张爱玲,哈尔滨出版社,NULL,2003-10,208,12.80,平装,9787806990414,8.0,294,NULL,"这是一位谜一样的作家，既善于将生活艺术化，又满怀着近乎浪漫的悲剧情感，她是名门之后，但她以自己是一个自食其力者而自豪；她既悲天悯人，但时时刻刻又能洞见芸芸众生之可怜可笑……只有她才能同时享受万众瞩目的喧闹和形单影只的落寞。这本身，就足以成就一段悲壮的传奇…… 张爱玲是作为中国现代文学史上的一位杰出作家，而不是作为一个怪人、异人而存在的。也许她将不仅仅属于现代文学史。遥想几十年、几百年后，她会像她欣赏的李清照一样，在整个中国文学史上占据一个稳定的位置也说不定，而我们知道，那时候今天为我们所熟知的许多现代作家肯定都将被忽略不计了。",张爱玲
13,古谣谚,(清)杜文澜|校注,中华书局出版社,NULL,1958-1-1,1074,126.00元,精装,9787101024388,9.7,51,NULL,暂无简介,中国文学
14,高校入试,"[日]  湊佳苗",化学工业出版社,NULL,2016-1-1,322,39.80元,精装,9787122255181,6.5,79,NULL,"★日本推理天后湊佳苗首次尝试直接编剧、超越《告白》的最新力作 ★湊佳苗对现存考试制度以及社会教育的深刻拷问、反思和控诉 ★从小说到同名电影（长泽雅美领衔主演）均在日本引起轰动 ★完成这部作品后，让我身为一个小说家得以更上一层楼。──湊佳苗 “我的人生全都让高中入学考给毁了。”  17:00 “对那些曾经犯下罪行的人施以制裁！”  20:00 名校一高的入学考即将开始，师生们如临大敌地准备着，然而在网络那端BBS上却出现了破坏考试的讨论。果然，坏消息接连出现了——黑板上“搞垮入学考！”的宣言，被偷偷上传到BBS的考题，考场里不该响起的手机铃声，莫名丢失的答题卡，铺天盖地令人窒息的匿名留言…… 幕后黑手竟然是……",推理
15,花花果果枝枝蔓蔓,桥东里,新星出版社,NULL,2014-7,208,42.00,Paperback,9787513314831,7.6,234,NULL,"国内首部绝美手绘植物抒情散文 一段段温暖奇妙的植物情缘 一篇篇隽永不朽的草木传奇 于繁、败、荣、枯中细细体味—— 人间四季 花树一生 作者以南方特有的婀娜多姿的植物为描写对象，结合了博物学、植物学、古文献资料等，纵古揽今，引经据典，写就篇篇植物传奇。 行文集野趣、情趣、 旨趣一体。妙趣横生，清新怡人。南方的一花一草一木一果，皆身姿摇曳，葳蕤生光，在书中宛若一个个有着不同身份，不同性格的人儿。它们有名字、有来历、有性格，也有各自的命运，一起构成了南方草木的瑰丽图景。 有花有果有典有趣有识见，这本草木短文结集的清凉小书，在夏日到来之际可谓天意。——黎戈 读时令人不觉回想起幼年嬉戏时光，这些婀娜植物就仿佛摇曳在眼前，周围都变得绿意盎然了。——meiya",绘本
16,羊男的圣诞节,村上春树,上海译文出版社,NULL,2004-01,"80 页",13.00,平装,9787532732302,7.6,2018,NULL,这次村上春树笔锋一转写起了童话小说。故事主角羊男将会带着你来到不为你所知的异世界，踏上神奇、滑稽、一波三折的圣诞夜冒险之旅。我们不禁折服于村上春树的魔力，永远有能力用他的文字来带着你上天入地。配合着日本画家佐佐木让人爱不释手的精美插图，故事显得更加生动有趣。可以让早已走出童年的你再次重温童话的美梦，给你一份轻松愉快的心情，具有很强的可读性。,村上春树
17,制造漫画,"[美] Scott McCloud",人民邮电出版社,NULL,2010-4,253,49.00元,平装,9787115222152,9.1,205,NULL,"《制造漫画》是一本非常贴近漫画创作的教学用书，作者通过形象化的角色来叙述自己的创作观点，循序渐进地带领读者探索漫画的创作方式。《制造漫画》内容详尽，包含画格场景设计、面部表情刻画、肢体语言表述、页面布局、故事情节构建、创作工具的选择及个人漫画风格的定位等很多读者渴望提高自身能力的内容。《制造漫画》语言幽默诙谐，用看似非常简单的说法展示了漫画中所蕴含的极深的艺术魅力，同时向读者展示了如何通过文字与图片完美地诠释漫画这种艺术形式。 《制造漫画》非常适合于动漫爱好者、插画爱好者，以及相关专业的学生和工作人员阅读，也适合动漫相关专业作为培训教材。    点击链接进入新版：  世界动漫经典教程:制造漫画(修订版)",漫画
18,世说新语校笺,杨勇,中华书局,NULL,2006-6,1233,98.00元,平装,9787101051100,9.2,319,NULL,本书是杨勇先生一九六一年至六八年花了八年时间，搜集了二百四十余种有关《世说新语》数据，对《世说新语》所作的系统整理，一九六九年九月由香港大众书局出版。一九九八年九月，杨勇先生自香港中文大学退休，不断访求当世有关《世说新语》新着一百余种，又穷八年之力，重新为之写定，修订旧作数百处，新增三万余字。此次由中华书局重新刊印，杨勇先生又精益求精地订正了近百处讹误。本书后附有关图表、汪藻《世说新语人名谱校笺》、《世说新语人名异称表》、《世说新语人名索引》等，为读者使用提供了极大方便。,古典文学
19,罗斯玛丽的婴儿,埃拉·雷文,文化艺术出版社,NULL,2006－05,239,22.00元,简裝本,9787503929717,7.1,259,NULL,见罗曼·波兰斯基导演的同名影片,悬疑
20,月族,"[美] 玛丽莎·梅尔",北京联合出版公司,NULL,2016-8-1,360,39.90元,平装,9787550278905,8.1,868,NULL,"这世界没有地狱与天堂，只有爱与不爱的信仰。 风靡全球的史诗级科幻冒险畅销小说 全球每天至少有24万人在线阅读《月族》！——Goodreads数据 ★《纽约时报》《今日美国》畅销书排行榜双榜冠军。 ★亚马逊评分4.6星（满分5星），横扫青年图书榜，连续3年半超180周畅销榜榜首！ ★全球著名权威独立书评网站Goodreads4.45分超高分推荐（满分5分），超130万条好评，力压同类畅销书《暮光之城：暮色》（3.56分）、《饥饿游戏》（4.36分）与《三体》（3.97分）！ ★全球知名畅销书作家玛丽莎·梅尔处女作、成名作，引领科幻图书的标杆之作。 ★《饥饿游戏》译者耿芳翻译，超一流翻译家作品，读得畅快，值得信赖！ ★畅销美国、英国、法国、德国、俄罗斯、意大利、西班牙、葡萄牙、荷兰、波兰、瑞典、土耳其、匈牙利、捷克、保加利亚、克罗地亚、爱沙尼亚、格鲁吉亚...(展开全部)",外国文学
21,鲁迅三兄弟,黄野,天津社会科学院出版社,NULL,2010-12,274,29.80元,平装,9787806885925,0.0,10,NULL,《鲁迅三兄弟》对鲁迅三兄弟的大比较描写，想必会把你领入某种难言的感触之中的。若此，我们就没有浪费你的时间了。愿他们不同的生命价值和追求，会为你之涉于人生，参考一二。但愿我们对他们的直呼其名，没有破坏您对他们的崇敬之心。而我们认为，把一个人，放回到他的真实、凡人的基础上，来看待他的伟大和光耀，这才是对他最真实的敬意。我们就这样热爱他们了。,鲁迅
22,猎人们,朱天心,生活·读书·新知三联书店,NULL,2006-10,166,24.00元,平装,9787108024862,8.8,2213,NULL,"这本书虽是散文随笔集，但也可以视为小说家“都市人类学”式的台湾社会“畸零族群”观察，只是凝视对象从人转移到了猫，作家用情更深，在她自己的人生与时间中的刻凿痕迹也就越深。在这本书的九篇作品中，作家述写自己与屋里屋外、可见的与不可见的生活领域里众猫族的邂逅与相处，她给他们自由，却赚得了羁绊；对他们的生命尊之重之，自己的生命也得到丰富。 在作者的笔下，猫已经不是宠物、不是朱家男女老小的玩偶，而是一群独立自在的主体，各逞其能在人类支配的环境里寻找空隙，争取一份存活的空间。这种视猫为自由主体的猫书，应该与人类英雄的传记归于同一类文体。",随笔
23,易碎品,(英)尼尔·盖曼,人民文学出版社,NULL,2013-1,287,30.00元,平装,9787020095391,8.2,485,NULL,"易碎品比比皆是，人与心如此，故事也不例外！ 当代幻想文学大师尼尔•盖曼经典之作 《易碎品》收录了尼尔•盖曼包括雨果奖获奖作品《绿字的研究》在内的多部诗歌、散文及故事作品，展现了他天马行空的想象力和写作才华。他就像个魔术师，用不可思议的手法营造出绚丽惊奇的幻象，让读者惊喜连连，目不暇给。他既将怪诞恐怖的想象融入现实（《纪念与珍宝》、《饲者与食者》），又不乏未泯的童心（《大家都爱好孩子》），还把现实与虚幻天衣无缝地结合起来（《记忆小径拾零》、《打烊时分》），更用想象为童话度上了一层全新的色彩（《椅中的十月》）。在他的故事里，地狱与天堂只有一线之隔，真实与想象就在一念之间。逗趣、阴郁、诡谲、优雅、感伤、冷硬，不同的气质、跳跃的思维与充满灵气的文字背后，有对生活的爱，对失去的害怕，以及对情感细致入微的观察，让人紧张到后背发凉、温柔到心生暖意、兴奋到心跳加速，...(展开全部)",奇幻
24,華麗與蒼涼,蔡鳳儀（編）,皇冠,NULL,1996,302,"NTD 250",平裝,9789624513974,7.7,16,NULL,暂无简介,张爱玲
